From	To
P51575	P2RX1
Q99489	DDO
Q5T9C9	PIP5KL1
Q8N8Z3	DIP2C-AS1
Q9NUX5	POT1
Q92620	DHX38
Q96LW4	PRIMPOL
O95758	PTBP3
P54829	PTPN5
P29074	PTPN4
Q8TBF2	PRXL2B
P42696	RBM34
Q53FA7	TP53I3
Q9H5N1	RABEP2
Q7Z4M0	REC114
Q9UBG7	RBPJL
Q08999	RBL2
P01112	HRAS
Q7Z444	ERAS
Q9Y4C8	RBM19
A8MTL3	RNF212B
Q9NX57	RAB20
Q9H4E5	RHOJ
Q8WYP3	RIN2
F8VTS6	RFPL4AL1
A5PLK6	RGSL1
Q9BYZ6	RHOBTB2
Q9BQY4	RHOXF2
Q53QZ3	ARHGAP15
Q9NZL6	RGL1
Q8N5W9	RFLNB
Q6BDI9	REP15
P31350	RRM2
P20151	KLK2
O14901	KLF11
Q107X0	KLKP1
Q3B8N2	LGALS9B
O95202	LETM1
P52954	LBX1
Q86VI4	LAPTM4B
Q9BXB1	LGR4
Q53EV4	LRRC23
Q5VT99	LRRC38
Q9Y546	LRRC42
Q05C16	LRRC63
Q9BTN0	LRFN3
P15018	LIF
P20700	LMNB1
O95243	MBD4
A6NE82	MBD3L3
Q99735	MGST2
Q8N339	MT1M
Q8NGK6	OR52I1
Q6IF82	OR4A47
Q96E52	OMA1
Q9UKK3	PARP4
P57721	PCBP3
Q9BRP1	PDCD2L
E2RYF7	HCG22
P35227	PCGF2
Q4G0U5	CFAP221
Q9Y5G0	PCDHGB5
Q9Y446	PKP3
P78424	POU6F2
Q00722	PLCB2
Q8NHR9	PFN4
Q6S545	POTEH
O60813	PRAMEF11
P30405	PPIF
P28074	PSMB5
Q96LQ0	PPP1R36
Q8N142	ADSS1
O75127	PTCD1
Q8NDX1	PSD4
Q2KHR3	QSER1
Q8WU10	PYROXD1
O75943	RAD17
Q8N3Y7	SDR16C5
Q7Z5B4	RIC3
Q9NP72	RAB18
P11234	RALB
P08134	RHOC
P49798	RGS4
Q96HR9	REEP6
Q13017	ARHGAP5
Q9HAU5	UPF2
Q9UJ90	KCNE5
Q8N0V4	LGI2
Q4G0A6	MINDY4
Q9Y4U1	MMACHC
Q9UHC1	MLH3
Q9BUR5	APOO
Q68CQ1	MROH7
Q6ZUA9	MROH5
Q5TGP6	MROH9
P45985	MAP2K4
Q00325	SLC25A3
Q2M385	MPEG1
O15457	MSH4
Q96LA9	MRGPRX4
P22894	MMP8
P50281	MMP14
Q6IN84	MRM1
Q2TV78	MST1L
Q9Y5P0	OR51B4
A8MZH6	OOSP1
Q6IF36	OR8G2P
Q9H1Y3	OPN3
Q8IWE2	FAM114A1
B2RN74	OR11H12
Q8NGE0	OR10AD1
P31939	ATIC
Q16633	POU2AF1
Q9UGF5	OR14J1
Q8NGL7	OR4P4
Q8NH43	OR4L1
Q8WZ84	OR8D1
Q8NGP6	OR5M8
Q8NGR2	OR1L6
Q9BXI2	SLC25A2
Q8NGS3	OR1J1
Q8NH00	OR2T4
Q9BRQ5	ORAI3
Q8NGR6	OR1B1
P51003	PAPOLA
Q8NGV0	OR2Y1
Q9NRJ5	PAPOLB
Q6ZW49	PAXIP1
Q9UNK4	PLA2G2D
P23219	PTGS1
O15173	PGRMC2
Q6XQN6	NAPRT
Q86TG7	PEG10
Q8N7G0	POU5F2
Q8NAT1	POMGNT2
Q8IY26	PLPP6
Q6T4P5	PLPPR3
Q96C90	PPP1R14B
Q96QC0	PPP1R10
Q16651	PRSS8
Q7RTY5	PRSS48
P86496	PRR20A
P43378	PTPN9
Q15257	PTPA
Q12913	PTPRJ
Q9UQ72	PSG11
Q00887	PSG9
Q96P65	QRFPR
P22670	RFX1
Q3MIN7	RGL3
P46778	RPL21
Q8NHW5	RPLP0P6
P10155	RO60
Q8N6D2	RNF182
Q8TDP1	RNASEH2C
Q9BYC9	MRPL20
Q05823	RNASEL
Q8WZA2	RAPGEF4
Q8IXM3	MRPL41
Q9UHV5	RAPGEFL1
Q9NZE8	MRPL35
Q9P0J6	MRPL36
Q68DK7	MSL1
Q53FP2	TMEM35A
Q9HB07	MYG1
Q8NG41	NPB
Q0ZGT2	NEXN
O43181	NDUFS4
Q6T4R5	NHS
P47972	NPTX2
Q96TA1	NIBAN2
Q9HC98	NEK6
P15309	ACP3
Q9H3P2	NELFA
O95897	OLFM2
Q9HC29	NOD2
Q96L73	NSD1
Q14995	NR1D2
P49116	NR2C2
P55055	NR1H2
Q9H7Z3	NRDE2
O95989	NUDT3
Q99567	NUP88
P0C628	OR5AC1
Q9HCN3	PGAP6
Q15077	P2RY6
Q86YR6	POTED
Q86UA1	PRPF39
P86479	PRR20C
Q6NWY9	PRPF40B
P0DMW2	NLRP2B
O95294	RASAL1
Q96T37	RBM15
Q7Z5J4	RAI1
Q96IS3	RAX2
Q5UIP0	RIF1
Q5W5W9	RESP18
Q9H628	RERGL
P35251	RFC1
Q8TEB9	RHBDD1
Q8IWW6	ARHGAP12
P61927	RPL37
P62899	RPL31
P06899	H2BC11
P42261	GRIA1
P09211	GSTP1
Q5TGJ6	HDGFL1
Q9H422	HIPK3
P0CJ68	MTRNR2L1
Q9NQG7	HPS4
P0CJ70	MTRNR2L3
O97980	HMHB1
P13985	HRES1
Q9NSB8	HOMER2
Q14568	HSP90AA2P
P34931	HSPA1L
P26583	HMGB2
Q6B9Z1	IGFL4
P30740	SERPINB1
P01859	IGHG2
Q9H2K0	MTIF3
Q01628	IFITM3
Q13007	IL24
P01705	IGLV2-23
Q96N16	JAKMIP1
Q9NSB4	KRT82
Q13557	CAMK2D
Q05655	PRKCD
O60928	KCNJ13
Q8NBR6	MINDY2
Q7Z3K6	MIER3
O60487	MPZL2
Q7RTX9	SLC16A14
Q70IA8	MOB3C
Q99550	MPHOSPH9
P43246	MSH2
Q14149	MORC3
Q9UBK8	MTRR
Q13505	MTX1
Q8NH60	OR52J3
Q6ZVC0	NYAP1
Q9UJX0	OSGIN1
Q9Y4A9	OR10H1
Q8NGS7	OR13C8
Q6NXP6	NOXRED1
Q8NHC7	OR14C36
Q8IXE1	OR4N5
Q8NGE8	OR4D9
A0A0X1KG70	OR4M2B
Q13606	OR5I1
Q8NGB9	OR4F6
Q8NGM8	OR6M1
Q8NGD2	OR4K2
Q8NGY6	OR6N2
Q13415	ORC1
Q8NH49	OR4X1
Q96R28	OR2M2
O95340	PAPSS2
Q9GZP0	PDGFD
Q8TE04	PANK1
Q9P2E7	PCDH10
Q13258	PTGDR
Q15366	PCBP2
Q9UN67	PCDHB10
Q13087	PDIA2
P11940	PABPC1
Q9BZA7	PCDH11X
P50542	PEX5
B7ZBB8	PPP1R3G
Q92786	PROX1
P62424	RPL7A
O14662	STX16
Q9UBX7	KLK11
P41159	LEP
Q5T871	LELP1
P22888	LHCGR
Q8TF66	LRRC15
Q8NGH6	OR52L2P
O60683	PEX10
A8MUH7	PDZK1P1
Q4J6C6	PREPL
P54821	PRRX1
Q9UI14	RABAC1
Q5VXH4	PRAMEF6
O00743	PPP6C
P29350	PTPN6
P49768	PSEN1
P23467	PTPRB
P23469	PTPRE
P62877	RBX1
Q9NRW1	RAB6B
Q9H0N0	RAB6C
P29762	CRABP1
Q15042	RAB3GAP1
Q9P1G2	RBM12B-AS1
Q8IZ41	RASEF
Q9NTZ6	RBM12
P26374	CHML
Q13637	RAB32
Q9Y4F9	RIPOR2
Q5JT25	RAB41
P46060	RANGAP1
Q5TAB7	RIPPLY2
O76081	RGS20
O15034	RIMBP2
Q9NS39	ADARB2
Q9BWJ2	RHPN1-AS1
P98171	ARHGAP4
P46779	RPL28
P19474	TRIM21
Q15287	RNPS1
Q9H920	RNF121
Q9UBS8	RNF14
Q9H0A6	RNF32
Q9H6Y7	RNF167
Q96P68	OXGR1
Q8WWY3	PRPF31
Q2TAK8	PWWP3A
Q9NW64	RBM22
P25800	LMO1
Q6ZSC3	RBM43
Q96AX2	RAB37
P20337	RAB3B
Q8NHV9	RHOXF1
Q99496	RNF2
Q8N431	RASGEF1C
O75570	MTRF1
Q6ZTI6	RFLNA
P48304	REG1B
Q13151	HNRNPA0
Q96MS0	ROBO3
Q8TDE3	RNASE8
P0DH78	RNF224
P51449	RORC
Q96DV4	MRPL38
P19387	POLR2C
Q5VZM2	RRAGB
Q96GC5	MRPL48
Q9H1D9	POLR3F
Q15050	RRS1
Q9BXU7	USP26
Q9UIK5	TMEFF2
P10828	THRB
Q86YJ6	THNSL2
Q12789	GTF3C1
Q9UKU6	TRHDE
Q6UXZ0	TMIGD1
Q6URK8	TEPP
Q9H3S3	TMPRSS5
B7Z8K6	TRDC
P01848	TRAC
A0JD37	TRDV3
Q6UWJ1	TMCO3
A6NGJ6	TRIM64
Q8IV31	TMEM139
Q08117	TLE5
O75365	PTP4A3
Q9BZW5	TM6SF1
Q8TDI8	TMC1
Q9NZ63	C9orf78
Q8N614	TMEM156
Q7L0Y3	TRMT10C
A0A0A6YYJ7	TRAV8-3
A0A589	TRBV4-3
Q7Z2W7	TRPM8
A0A0B4J272	TRAV24
P01222	TSHB
P49815	TSC2
Q6NUM6	TYW1B
Q6ZN44	UNC5A
Q8N806	UBR7
O95847	SLC25A27
P49459	UBE2A
Q5T124	UBXN11
P0CG48	UBC
O95881	TXNDC12
Q96K76	USP47
Q9Y3M8	STARD13
Q9HBF5	ST20
Q9C0H9	SRCIN1
Q92783	STAM
O43463	SUV39H1
O95425	SVIL
O75716	STK16
Q6NZ63	STEAP1B
Q8TDR2	STK35
O76094	SRP72
Q2M3V2	SOWAHA
Q6NVH7	SWSAP1
Q13285	NR5A1
O75683	SURF6
Q6UWH6	TEX261
M5A8F1	ERVH48-1
P35270	SPR
Q9UJZ1	STOML2
Q9BR10	SPATA25
O75494	SRSF10
Q7Z5L4	SPATA19
Q5VTQ0	TTC39B
P14868	DARS1
Q15750	TAB1
Q9NYW2	TAS2R8
Q9NX61	TMEM161A
A2VDJ0	TMEM131L
Q3YBM2	TMEM176B
Q9NYV9	TAS2R13
P59542	TAS2R19
P23258	TUBG1
Q9HA65	TBC1D17
Q9P2M4	TBC1D14
P37837	TALDO1
A0A0A0MT70	TRBJ2-6
O60522	TDRD6
Q00059	TFAM
Q96S53	TESK2
Q8TB96	ITFG1
Q96EI5	TCEAL4
P34981	TRHR
P11387	TOP1
Q9NZR1	TMOD2
Q6ZSZ6	TSHZ1
O15391	YY2
Q9UMW8	USP18
O95045	UPP2
Q9NX01	TXNL4B
P0DTE4	UGT2A1
Q8NBM4	UBAC2
P57075	UBASH3A
P63146	UBE2B
Q9HBJ7	USP29
O75604	USP2
Q70EK8	USP53
Q15836	VAMP3
O75063	FAM20B
A8MXK1	VSTM5
Q96N03	VSTM2L
Q14191	WRN
Q969X6	UTP4
O14905	WNT9B
O14904	WNT9A
Q9HBG4	ATP6V0A4
Q9Y4E6	WDR7
O95785	WIZ
Q9H269	VPS16
Q9UID3	VPS51
Q96JC1	VPS39
P63124	HERV-K104
Q9H1F0	WFDC10A
Q7Z4H8	POGLUT3
P49207	RPL34
Q6DKI1	RPL7L1
Q8WZ75	ROBO4
Q13464	ROCK1
E7ERA6	RNF223
O15446	POLR1G
Q01974	ROR2
Q8N114	SHISA5
Q9NTG7	SIRT3
Q06520	SULT2A1
Q9P2C4	TMEM181
Q13103	SPP2
P49903	SEPHS1
Q9UJW9	SERTAD3
Q01130	SRSF2
Q8NBK3	SUMF1
P63165	SUMO1
P53804	TTC3
Q13242	SRSF9
O75486	SUPT3H
O75762	TRPA1
A0A0B4J275	TRAV17
P0CW00	TSPY8
Q96QS1	TSPAN32
O94874	UFL1
P49427	CDC34
P11441	UBL4A
P60604	UBE2G2
A6PVC2	TTLL8
Q96LR5	UBE2E2
Q9UHP3	USP25
Q8IYN6	UBALD2
Q70EL4	USP43
P0C7P4	UQCRFS1P1
Q86T82	USP37
Q92890	UFD1
O15205	UBD
Q8NEY4	ATP6V1C2
Q9H598	SLC32A1
Q86V25	VASH2
P67809	YBX1
Q96EC8	YIPF6
Q86VM9	ZC3H18
Q8IUH4	ZDHHC13
A6NEH8	ZNF503-AS2
O15209	ZBTB22
P17036	ZNF3
Q8IUH5	ZDHHC17
Q66K41	ZNF385C
A4D1E1	ZNF804B
Q9NYG2	ZDHHC3
Q8NAP8	ZBTB8B
Q9H853	TUBA4B
Q9BQS2	SYT15
Q99576	TSC22D3
B9EJG8	TMEM150C
O76070	SNCG
P59536	TAS2R41
Q9H6P5	TASP1
Q9ULP9	TBC1D24
Q9BSF4	TIMM29
Q8WUH2	TGFBRAP1
Q96PF1	TGM7
Q96DA6	DNAJC19
P02786	TFRC
O75954	TSPAN9
Q99614	TTC1
Q9Y5Z9	UBIAD1
Q96A05	ATP6V1E2
O14607	UTY
Q9NZR4	VSX1
Q9BV40	VAMP8
A5D8V6	VPS37C
Q8N9V3	WDSUB1
O00755	WNT7A
Q8N2E2	VWDE
P12018	VPREB1
P23025	XPA
Q96QU8	XPO6
Q9UBV4	WNT16
Q96P53	WDFY2
O75083	WDR1
P07947	YES1
Q16816	PHKG1
Q92561	PHYHIP
P43115	PTGER3
Q5VZY2	PLPP4
Q86V59	PNMA8A
Q9NRD5	PICK1
Q99541	PLIN2
Q9NYY3	PLK2
Q9UHV8	LGALS13
Q6S8J7	POTEA
Q9NZ81	PRR13
P49763	PGF
Q96R06	SPAG5
Q9Y5X0	SNX10
Q96PX8	SLITRK1
Q9BQ16	SPOCK3
P48594	SERPINB4
Q9Y336	SIGLEC9
Q8IUQ4	SIAH1
Q9BT81	SOX7
Q9NWH9	SLTM
P21815	IBSP
O14508	SOCS2
O75830	SERPINI2
Q96BR1	SGK3
Q14190	SIM2
Q9P0V8	SLAMF8
A4D263	SPATA48
O14544	SOCS6
A2VEC9	SSPOP
Q8WXA9	SREK1
P11831	SRF
Q69YW2	STUM
Q8NFR3	SPTSSB
Q8N434	SVOPL
P52823	STC1
Q9BXG8	SPZ1
Q8N300	SVBP
Q15022	SUZ12
O76061	STC2
P84103	SRSF3
Q07955	SRSF1
B3KS81	SRRM5
P55072	VCP
A0A5B9	TRBC2
Q969D9	TSLP
Q8NFU3	TSTD1
Q53H54	TRMT12
P61077	UBE2D3
A0A0A6YYG2	TRBV6-6
P55916	UCP3
P45974	USP5
Q9BRA2	TXNDC17
P40200	CD96
Q69YZ2	TMEM200B
P59543	TAS2R20
Q9H061	TMEM126A
Q14C87	TMEM132D
Q6NXT6	TAPT1
P0DSN6	TAS2R33
Q9UFV1	TBC1D29P
Q8IXB3	TRARG1
Q9Y2I9	TBC1D30
Q9Y519	TMEM184B
Q9H2K8	TAOK3
Q96DN5	TBC1D31
O43294	TGFB1I1
P10827	THRA
Q9BU02	THTPA
Q9Y3D7	PAM16
P04053	DNTT
Q9BSI4	TINF2
O43435	TBX1
Q8NEW7	TMIE
Q6P5X7	TMEM71
Q96CG3	TIFA
A2RUT3	TMEM89
Q9BXU2	TEX13B
P26368	U2AF2
Q9UKW4	VAV3
P37288	AVPR1A
Q5BJH7	YIF1B
P17014	ZNF12
Q9H6B1	ZNF385D
A6NP61	ZAR1L
Q8N2G6	ZCCHC24
Q9HBT8	ZNF286A
Q6AW86	ZNF324B
O60232	ZNRD2
Q96KM6	ZNF512B
B2RXF5	ZBTB42
Q49A33	ZNF876P
P37275	ZEB1
Q9ULD9	ZNF608
Q8WZ26	PP6455
O15015	ZNF646
Q15697	ZNF174
P51786	ZNF157
Q6FIF0	ZFAND6
Q8TF20	ZNF721
Q9HCX3	ZNF304
Q13360	ZNF177
Q6ZT77	ZNF826P
O75346	ZNF253
Q86WZ6	ZNF227
B4DX44	ZNF736
P17010	ZFX
P15622	ZNF250
Q9ULM2	ZNF490
Q7Z3T8	ZFYVE16
Q5EBM4	ZNF542P
Q96H40	ZNF486
Q6V9R5	ZNF562
Q6NX49	ZNF544
P0C6A0	ZGLP1
O95218	ZRANB2
Q15031	LARS2
Q8N1K5	THEMIS
Q86W42	THOC6
Q96MH6	TMEM68
Q9NQ34	TMEM9B
Q9BXS4	TMEM59
A0A0J9YWP8	TRBJ1-3
Q13470	TNK1
P36941	LTBR
Q9BUZ4	TRAF4
Q15035	TRAM2
O75509	TNFRSF21
Q9UJV3	MID2
Q9H808	TLE6
Q9H0C3	TMEM117
Q5SV17	TMEM240
Q9UL52	TMPRSS11E
Q86UE8	TLK2
Q8NFQ8	TOR1AIP2
Q8N8V8	TMEM105
Q68D42	TMEM215
A0A0A6YYD4	TRBV13
Q8NER1	TRPV1
O75631	UPK3A
P41226	UBA7
Q96QD9	FYTTD1
O14598	VCY
O14598	VCY1B
Q6RSH7	VHLL
P62760	VSNL1
P46939	UTRN
Q6ICG8	WBP2NL
Q96TA2	YME1L1
Q03936	ZNF92
P17038	ZNF43
Q03938	ZNF90
Q02386	ZNF45
Q8IYN0	ZNF100
P52746	ZNF142
Q9P0L1	ZKSCAN7
Q8N7Q3	ZNF676
O15231	ZNF185
Q7Z7L7	ZER1
Q9UK12	ZNF222
Q96H86	ZNF764
Q9P2Y4	ZNF219
Q9BV97	ZNF747
Q9NV72	ZNF701
Q9C0A1	ZFHX2
P51815	ZNF75D
Q3MJ62	ZSCAN23
Q6ECI4	ZNF470
Q5VIY5	ZNF468
Q96MM3	ZFP42
Q6P9A3	ZNF549
Q8N5A5	ZGPAT
Q96N38	ZNF714
Q6NUS8	UGT3A1
A6NJT0	UNCX
Q96PU4	UHRF2
O14795	UNC13B
P0DTE5	UGT2A2
Q8NDX2	SLC17A8
Q9BVJ6	UTP14A
P0DP72	VSIG10L2
P47989	XDH
P02774	GC
Q5T750	XP32
A6NIX2	WTIP
A6NGB9	WIPF3
Q9H0M0	WWP1
Q9HD64	XAGE1A
Q9HD64	XAGE1B
Q9UKI3	VPREB3
Q6RFH5	WDR74
Q9H1Z4	WDR13
Q8NEX5	WFDC9
O76024	WFS1
Q8IUB5	WFDC13
Q8NA23	WDR31
Q96DT7	ZBTB10
Q96K62	ZBTB45
Q13105	ZBTB17
A8MVS1	ZNF705F
O95365	ZBTB7A
Q15326	ZMYND11
Q9BYJ9	YTHDF1
Q9Y4E5	ZNF451
Q96GC6	ZNF274
Q8WV99	ZFAND2B
A6NDX5	ZNF840P
Q494X3	ZNF404
Q5BKZ1	ZNF326
Q8N393	ZNF786
O95405	ZFYVE9
Q96MN9	ZNF488
Q7L2K0	TEDC2
Q96RS0	TGS1
Q9Y4C2	TCAF1
Q9UBN6	TNFRSF10D
Q96RJ3	TNFRSF13C
Q2M3C6	TMEM266
Q8TEL6	TRPC4AP
Q7Z2T5	TRMT1L
Q9BVC6	TMEM109
Q9HAV5	EDA2R
Q9Y2S6	TMA7
Q9NS93	TM7SF3
Q04725	TLE2
Q9BXR5	TLR10
A0A0B4J249	TRAV5
A0A087WV62	TRBV16
A0A5A2	TRBV5-8
A0A0B4J241	TRAV13-1
Q15661	TPSAB1
A0A0A0MS01	TRGV10
Q9Y2C9	TLR6
Q9H2G4	TSPYL2
Q2TAM9	TUSC1
O15050	TRANK1
Q15029	EFTUD2
Q9H9P5	UNKL
O00526	UPK2
P01282	VIP
Q8TAG6	VXN
P63027	VAMP2
P58304	VSX2
Q6PCB0	VWA1
Q9H267	VPS33B
Q6AWC2	WWC2
Q6GPH4	XAF1
Q9UL54	TAOK2
H3BS89	TMEM178B
Q8N5T2	TBC1D19
P36897	TGFBR1
Q9BX59	TAPBPL
P42681	TXK
Q15819	UBE2V2
P0C7I0	USP17L8
O75385	ULK1
Q3KQV9	UAP1L1
O95551	TDP2
Q9P0L0	VAPA
Q9ULK5	VANGL2
Q8N0Z9	VSIG10
Q86Y07	VRK2
P47992	XCL1
P61964	WDR5
O95070	YIF1A
Q9UK55	SERPINA10
Q7Z3I7	ZNF572
P98168	ZXDA
P08048	ZFY
P48039	MTNR1A
Q9NYA4	MTMR4
Q969V5	MUL1
Q9Y5H5	PCDHA9
Q8NEY1	NAV1
Q8WX94	NLRP7
Q3BBV2	NBPF8
P13349	MYF5
P22033	MMUT
Q9BSH3	NICN1
Q9H2Z4	NKX2-4
O76050	NEURL1
P78367	NKX3-2
Q9NQX5	NPDC1
Q86WI3	NLRC5
Q8WWR8	NEU4
Q7L592	NDUFAF7
Q5VXU1	NKAIN2
Q92832	NELL1
Q12986	NFX1
Q12857	NFIA
Q9ULX3	NOB1
Q8WTW4	NPRL2
Q5VVY1	NTMT2
P35658	NUP214
Q9GZY6	LAT2
P85299	PRR5
Q9ULB1	NRXN1
O43847	NRDC
Q8NGE2	OR2AP1
Q9H2C5	OR52A5
Q9H0X9	OSBPL5
Q5VZ03	NXNL2
Q8N323	NXPE1
Q9GZU2	PEG3
Q99959	PKP2
P48147	PREP
P81277	PRLH
Q96GX1	TCTN2
Q5HYJ1	TECRL
Q9NS62	THSD1
Q9NVV9	THAP1
Q9UGU0	TCF20
O95988	TCL1B
Q99593	TBX5
Q969P6	TOP1MT
P17987	TCP1
Q9UI30	TRMT112
Q6P7N7	TMEM81
O14817	TSPAN4
Q5TAA0	TTC22
O14907	TAX1BP3
Q8WVJ9	TWIST2
Q8IWF7	UBE2DNL
O15240	VGF
O95859	TSPAN12
Q9H1C4	UNC93B1
Q712K3	UBE2R2
Q8N427	NME8
Q7Z3V4	UBE3B
Q14CS0	UBXN2B
Q6UXI7	VIT
Q52LC2	ATP6AP1L
Q9Y3A2	UTP11
O95183	VAMP5
Q8N8Y2	ATP6V0D2
Q2TBF2	WSCD2
Q9ULE0	WWC3
Q93098	WNT8B
Q9C0E2	XPO4
Q9P202	WHRN
O15537	RS1
Q9Y3S1	WNK2
Q64LD2	WDR25
Q9BV38	WDR18
O00534	VWA5A
P54219	SLC18A1
O15498	YKT6
Q8NEK5	ZNF548
Q8N141	ZFP82
Q96MP5	ZSWIM3
Q9Y2H8	ZNF510
Q8IVC4	ZNF584
Q15431	SYCP1
Q96SF7	TBX15
A6NM43	CCT8L1P
P36402	TCF7
P16035	TIMP2
P52655	GTF2A1
Q9BT92	TCHP
Q8IZW8	TNS4
P47974	ZFP36L2
P82094	TMF1
O15164	TRIM24
Q92547	TOPBP1
P20396	TRH
O75069	TMCC2
O95361	TRIM16
Q9NS68	TNFRSF19
Q14106	TOB2
P51580	TPMT
Q15629	TRAM1
Q8IY95	TMEM192
C9JQI7	TMEM232
O94900	TOX
Q6UWW9	TMEM207
Q03169	TNFAIP2
Q9Y6L7	TLL2
Q9UK28	TMEM59L
Q96EY4	TMA16
Q6ZP80	TMEM182
A0A0B4J244	TRAV3
A0A0B4J2E0	TRBV12-4
Q9UBN4	TRPC4
A0A0K0K1C0	TRBV11-1
Q9NRR2	TPSG1
Q9UI38	PRSS50
Q96PP4	TSGA13
Q5VVX9	UBE2U
Q99990	VGLL1
P21796	VDAC1
Q13336	SLC14A1
O94967	WDR47
Q9Y2W2	WBP11
Q9GZL7	WDR12
P0CG23	ZNF853
Q86YA3	ZGRF1
P21754	ZP3
Q8N184	ZNF567
Q3ZCX4	ZNF568
Q86UQ0	ZNF589
Q96S82	UBL7
Q9UKP6	UTS2R
Q5W0Q7	USPL1
Q5T230	UTF1
P07911	UMOD
Q86Y38	XYLT1
Q96AJ9	VTI1A
Q709C8	VPS13C
Q9Y6I7	WSB1
O43592	XPOT
Q96IQ7	VSIG2
Q8IV63	VRK3
Q8TBZ3	WDR20
Q5JTN6	WDR38
O96014	WNT11
Q9NRH1	YAE1
P17030	ZNF25
P51523	ZNF84
Q9HCK0	ZBTB26
Q96PM9	ZNF385A
Q05481	ZNF91
Q9C0D7	ZC3H12C
Q6PF04	ZNF613
Q96SK3	ZNF607
Q5T1R4	HIVEP3
P0CG00	ZSCAN5DP
A6NFI3	ZNF316
Q6ZNH5	ZNF497
Q6P2D0	ZFP1
Q9P255	ZNF492
Q6S9Z5	ZNF474
Q969W8	ZNF566
A8MUK1	USP17L5
Q6PHR2	ULK3
Q9H320	VCX
Q9NY84	VNN3
P56704	WNT3A
Q9H0D6	XRN2
O75436	VPS26A
Q9BTA9	WAC
O14609	XKRY
A4D1P6	WDR91
Q5GH73	XKR6
Q9HAV4	XPO5
Q8WTP9	XAGE3
Q86XK7	VSIG1
A8K0Z3	WASHC1
Q9Y2T7	YBX2
A6NC05	C5orf63
Q969M3	YIPF5
Q9UHU1	PRO1716
Q16560	SNRNP35
P40222	TXLNA
Q16763	UBE2S
Q7L8A9	VASH1
Q8NBZ7	UXS1
Q9BXE9	VN1R3
Q9NYS7	WSB2
P55060	CSE1L
Q702N8	XIRP1
Q5MNZ9	WIPI1
B2RUY7	VWC2L
Q3MJ13	WDR72
Q9NQW7	XPNPEP1
P55808	XG
Q9UPY5	SLC7A11
Q3ZAQ7	VMA21
Q8WWM1	XAGE5
Q6P2C0	WDR93
Q9HC57	WFDC1
Q8TAF3	WDR48
O00401	WASL
Q9Y6W5	WASF2
O75554	WBP4
Q8NI36	WDR36
Q8TCW7	ZPLD1
Q8NHE4	ATP6V0E2
A8MV65	VGLL3
Q5SQQ9	VAX1
Q96JG6	VPS50
Q9UBH6	XPR1
Q9UM01	SLC7A7
Q8N8F6	YIPF7
Q9Y330	ZBTB12
P0CJ78	ZNF865
Q9H869	YY1AP1
Q8NAP3	ZBTB38
Q8NEW0	SLC30A7
Q5TFG8	ZC2HC1B
Q96GY0	ZC2HC1A
Q14966	ZNF638
Q9Y3M9	ZNF337
Q9P217	ZSWIM5
Q8N6M9	ZFAND2A
Q9HCL3	ZFP14
Q8N8C0	ZNF781
Q9NU63	ZFP57
A7E2V4	ZSWIM8
Q9H987	SYNPO2L
Q9H489	TSPY26P
Q96AE7	TTC17
Q9UHD9	UBQLN2
P11684	SCGB1A1
Q0P140	HSD52
A6NHJ4	ZNF860
P51814	ZNF41
Q9H8X9	ZDHHC11
Q99592	ZBTB18
Q6ZMS4	ZNF852
Q6ZN79	ZNF705A
Q7Z570	ZNF804A
Q96H79	ZC3HAV1L
Q9H091	ZMYND15
Q6ZNG1	ZNF600
Q8IZM8	ZNF654
Q5EBL2	ZNF628
Q96EF9	ZHX1-C8orf76
P52742	ZNF135
Q8IW36	ZNF695
Q8NE65	ZNF738
Q53GI3	ZNF394
Q86UP3	ZFHX4
Q8TBC5	ZSCAN18
Q96HQ0	ZNF419
Q8TB69	ZNF519
Q8TF32	ZNF431
Q96JM2	ZNF462
Q96K83	ZNF521
Q92618	ZNF516
Q9H707	ZNF552
Q76KX8	ZNF534
Q96SQ5	ZNF587
A6NP11	ZNF716
Q14694	USP10
Q9NPD8	UBE2T
O60656	UGT1A9
Q9Y5T5	USP16
P35504	UGT1A5
A0A0A6YYG3	TRBV6-8
Q96RP3	UCN2
P55851	UCP2
Q969E3	UCN3
P25874	UCP1
Q8NFA0	USP32
P63313	TMSB10
P09327	VIL1
P19320	VCAM1
Q495M9	USH1G
P51809	VAMP7
P19544	WT1
Q86TI4	WDR86
Q6UX68	XKR5
Q2NL98	VMAC
O75351	VPS4B
Q6VEQ5	WASH2P
Q6UWF5	UNQ5815/PRO19632
Q8IWY8	ZSCAN29
Q0VGE8	ZNF816
Q96ND8	ZNF583
Q5MCW4	ZNF569
O95155	UBE4B
Q9BRT2	UQCC2
P36543	ATP6V1E1
Q8TCY9	URGCP
P15498	VAV1
O95498	VNN2
Q96DN2	VWCE
A2RUG3	XKRY2
Q9GZT5	WNT10A
Q06250	WT1-AS
Q96GT9	XAGE2
Q9H8Y1	VRTN
Q5GH76	XKR4
Q9Y279	VSIG4
Q13488	TCIRG1
Q7Z5K2	WAPL
Q96NZ8	WFIKKN1
Q2M389	WASHC4
Q9UPY6	WASF3
Q96G27	WBP1
Q9BWQ6	YIPF2
Q6ZV60	LINC00173
P0CJ79	ZNF888
Q9H5U6	ZCCHC4
Q9UDW3	ZMAT5
Q8WYQ9	ZCCHC14
Q96JF6	ZNF594
